"MatchID","LeagueCode","Result","ModelPick","MarketFavorite","Correct","ActualUpset","AIScore","Confidence","UpsetIndex"
"FAI-54b8f1e2af2338e104576e5d","FD_G1","D","H","H","False","True","59.4855824132304","69","40.5144175867696"
"FAI-78f1561ad70f584040c10f3d","FD_G1","H","A","H","False","False","46.3824004250162","37","74.0164655043977"
"FAI-aecf4598bbb57ea859485812","FD_G1","D","A","A","False","True","45.1793742206839","29","54.8206257793161"
"FAI-6dbeef325d0283e4109a0f5b","FD_G1","A","H","H","False","True","46.6352892853693","38","53.3647107146307"
"FAI-181c3a9dea02f7d38da4205e","FD_G1","D","H","A","False","True","37.97639271426","12","67.8354376603576"
"FAI-a525fd3851ae8196dc8d24de","FD_G1","H","H","H","True","False","53.2129637440222","55","46.7870362559778"
"FAI-118af35edc8f5f36280bee7c","FD_G1","D","H","H","False","True","49.9178005030113","43","50.0821994969887"
"FAI-e6465de59bfe40c6cf15cfb4","FD_G1","D","H","H","False","True","49.9178005030114","43","50.0821994969886"
"FAI-e16c62cc4e689d5aa845e269","FD_G1","D","A","A","False","True","53.7748106865725","50","46.2251893134275"
"FAI-8b6460f9be3dbfa8d814d52b","FD_G1","H","H","H","True","False","36.8073721257453","1","63.1926278742547"
"FAI-d753df5241f42e4866132113","FD_G1","A","A","A","True","False","50.4646215204085","45","49.5353784795915"
"FAI-27d1b877e4d270a49fb3899f","FD_G1","H","H","H","True","False","35.1349355424119","2","64.8650644575881"
"FAI-93f98faee47e346af132be94","FD_G1","H","H","H","True","False","64.8116322837612","81","35.1883677162388"
"FAI-b20c13d87606aa6dbab98455","FD_G1","A","A","A","True","False","46.6705056765298","30","53.3294943234702"
"FAI-5574d8458cab538d802ee924","FD_G1","H","H","H","True","False","57.3845192542543","68","42.6154807457457"
"FAI-72a26c90c5c9ac2defcebd13","FD_G1","A","A","A","True","False","45.1060691669791","34","54.8939308330209"
"FAI-ed7ac0a4f6e7a5d33fa0b067","FD_G1","A","A","A","True","False","48.9713076504452","43","51.0286923495548"
