"Dataset","SourceMatchID","Status","Reasons"
"international_matches","2018-06-26_Iceland_Croatia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-26_Korea Republic_Germany","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-26_Mexico_Sweden","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-26_Serbia_Brazil","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-27_Switzerland_Costa Rica","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-27_Japan_Poland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-27_Senegal_Colombia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-27_England_Belgium","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-27_Panama_Tunisia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-30_France_Argentina","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2018-07-01_Uruguay_Portugal","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-01_Spain_Russia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-01_Croatia_Denmark","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-02_Brazil_Mexico","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-02_Belgium_Japan","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-03_Sweden_Switzerland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-03_Colombia_England","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-06_Uruguay_France","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-06_Brazil_Belgium","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-07_Sweden_England","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-07_Russia_Croatia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-10_France_Belgium","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-11_Croatia_England","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-14_Belgium_England","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-07-15_France_Croatia","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2021-06-13_Brazil_Venezuela","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-13_Colombia_Ecuador","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-14_Argentina_Chile","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-14_Paraguay_Bolivia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-17_Chile_Bolivia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-17_Argentina_Uruguay","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-18_Peru_Colombia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-18_Brazil_Peru","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2021-06-20_Venezuela_Ecuador","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-21_Uruguay_Chile","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-21_Argentina_Paraguay","QUARANTINED","UNVERIFIABLE_SOURCE"
